taxon	min	max
sans1269	3000	3400
pali1273	2000	2300
maha1305	2000	2300
panj1256	0	250
sera1259	0	250
sind1272	0	250
assa1263	0	250
beng1280	0	250
oriy1255	0	250
nepa1254	0	250
mait1250	0	250
awad1243	0	250
bhoj1244	0	250
hind1269	0	250
doma1260	0	250
vlax1238	0	250
doma1258	0	250
marw1260	0	250
dhun1238	200	0400
mewa1249	0	250
bagr1243	0	250
guja1252	0	250
saur1248	0	250
mara1378	0	250
konk1267	0	250
dhiv1236	0	250
sinh1246	0	250
khow1242	0	250
kala1372	0	250
torw1241	0	250
indu1241	0	250
phal1254	0	250
shin1264	0	250
kash1277	0	250
aves1237	2600	2800
wakh1245	0	250
khot1251	1100	1300
osse1243	0	250
sari1246	0	250
shug1248	0	250
ishk1246	0	250
ormu1247	0	250
para1299	0	250
pash1269	0	250
khwa1238	800	1000
sogd1245	1000	1200
yagn1238	0	250
bact1239	1000	1200
west2368	0	250
cent1972	0	250
diml1238	0	250
part1239	1800	2000
midd1350	0	250
dari1249	0	250
pahl1241	1400	1800
oldp1254	2300	2500
kumz1235	0	250
jude1256	0	250
luri1257	0	250
bakh1245	0	250
maza1291	0	250
gila1241	0	250
sang1315	0	250
esht1238	0	250
taly1247	0	250
