Agia_Varvara_Romani<vlax1238> (+clf,obl.pl)
Assamese<assa1263> (+clf,opt.pl)
Avestan<aves1237> (-clf,obl.pl)
Awadhi<awad1243> (+clf,opt.pl)
Bactrian<bact1239> (-clf,opt.pl)
Bagri<bagr1243> (-clf,morph.pl)
Bakhtiyari<bakh1245> (+clf,opt.pl)
Bengali<beng1280> (+clf,opt.pl)
Bhojpuri<bhoj1244> (+clf,opt.pl)
Dari<dari1249> (+clf,opt.pl)
Dhivehi<dhiv1236> (-clf,opt.pl)
Domari<doma1258> (-clf,opt.pl)
Dumaki<doma1260> (-clf,obl.pl)
Gilaki<gila1241> (+clf,opt.pl)
Gujarati<guja1252> (-clf,opt.pl)
Hindi<hind1269> (-clf,morph.pl)
Iron_Ossetic<osse1243> (-clf,obl.pl)
Ishkashimi<ishk1246> (+clf,opt.pl)
Judeo-Tati<jude1256> (-clf,opt.pl)
Kalam_Kohistani<indu1241> (-clf,obl.pl)
Kalasha<kala1372> (-clf,opt.pl)
Kashmiri<kash1277> (-clf,morph.pl)
Khotanese_Saka<khot1251> (-clf,obl.pl)
Khowar<khow1242> (-clf,opt.pl)
Khwarezmian<khwa1238> (-clf,obl.pl)
Konkani<konk1267> (-clf,morph.pl)
Kumzari<kumz1235> (+clf,obl.pl)
Luri<luri1257> (-clf,opt.pl)
Maithili<mait1250> (+clf,opt.pl)
Marathi<mara1378> (-clf,morph.pl)
Marwari<marw1260> (-clf,morph.pl)
Mazandarani<maza1291> (+clf,opt.pl)
Mewati<mewa1249> (-clf,morph.pl)
Middle_Persian<pahl1241> (-clf,opt.pl)
Modern_Persian<midd1350> (+clf,opt.pl)
Nepali<nepa1254> (+clf,opt.pl)
Old_East_Rajasthani<dhun1238> (-clf,morph.pl)
Old_Persian<oldp1254> (-clf,obl.pl)
Oriya<oriy1255> (+clf,opt.pl)
Ormuri<ormu1247> (+clf,opt.pl)
Pali<pali1273> (-clf,obl.pl)
Palula<phal1254> (-clf,obl.pl)
Panjabi<panj1256> (-clf,morph.pl)
Parachi<para1299> (-clf,opt.pl)
Parthian<part1239> (-clf,opt.pl)
Pashto<pash1269> (+clf,obl.pl)
Prakrit<maha1305> (-clf,obl.pl)
Rakhshani_Baluchi<west2368> (-clf,morph.pl)
Sangesari<sang1315> (-clf,morph.pl)
Sanskrit<sans1269> (-clf,obl.pl)
Sariqoli<sari1246> (+clf,opt.pl)
Saurashtran<saur1248> (-clf,morph.pl)
Shina<shin1264> (-clf,morph.pl)
Shughni<shug1248> (-clf,opt.pl)
Sindhi<sind1272> (-clf,morph.pl)
Sinhala<sinh1246> (+clf,obl.pl)
Siraiki<sera1259> (-clf,morph.pl)
Sogdian<sogd1245> (-clf,opt.pl)
Sorani_Kurdish<cent1972> (-clf,opt.pl)
South_Tati<esht1238> (-clf,opt.pl)
Taleshi<taly1247> (+clf,opt.pl)
Torwali<torw1241> (-clf,morph.pl)
Wakhi<wakh1245> (+clf,opt.pl)
Yaghnobi<yagn1238> (+clf,obl.pl)
Zazaki<diml1238> (+clf,opt.pl)
